split,seed,mean_reward,cumulative_reward,accepted_events,replay_coverage,exploration_rate,fallback_rate,celular_selection_rate,telefone_selection_rate,absolute_lift_vs_fixed,relative_lift_vs_fixed
validation,1000,0.1454940282301846,536,3684,0.5965025906735751,0.05310880829015544,0.034974093264248704,0.9332901554404145,0.0667098445595855,0.0025276673739154654,0.01768015467957983
validation,1001,0.09488372093023256,204,2150,0.3481217616580311,0.11787564766839378,0.034974093264248704,0.6088082901554405,0.3911917098445596,-0.04808263992603656,-0.3363213530655391
validation,1002,0.10266733769501761,204,1987,0.32172927461139894,0.1489637305699482,0.034974093264248704,0.5652525906735751,0.43474740932642486,-0.040299023161251515,-0.2818776593311068
validation,1003,0.1198443579766537,154,1285,0.20806347150259066,0.12645725388601037,0.034974093264248704,0.4318329015544041,0.5681670984455959,-0.023122002879615425,-0.1617303730830854
validation,1004,0.10863309352517986,151,1390,0.22506476683937823,0.1479922279792746,0.034974093264248704,0.4384715025906736,0.5615284974093264,-0.03433326733108927,-0.24014927095756555
validation,1005,0.14809828340626052,440,2971,0.4810556994818653,0.1870142487046632,0.034974093264248704,0.7861075129533679,0.21389248704663213,0.005131922549991397,0.03589601441384356
validation,1006,0.1388888888888889,310,2232,0.36139896373056996,0.18183290155440415,0.034974093264248704,0.6084844559585493,0.3915155440414508,-0.004077471967380231,-0.028520499108734446
validation,1007,0.15518518518518518,419,2700,0.4371761658031088,0.20191062176165803,0.034974093264248704,0.7189119170984456,0.2810880829015544,0.01221882432891605,0.0854664289958406
validation,1008,0.09898477157360407,156,1576,0.2551813471502591,0.14653497409326424,0.034974093264248704,0.4841321243523316,0.5158678756476683,-0.04398158928266506,-0.3076359293140422
validation,1009,0.15945406125166445,479,3004,0.48639896373056996,0.17713730569948186,0.034974093264248704,0.7979274611398963,0.20207253886010362,0.01648770039539532,0.11532573324693625
validation,1010,0.09117938553022795,184,2018,0.32674870466321243,0.12224740932642487,0.034974093264248704,0.5712435233160622,0.42875647668393785,-0.05178697532604118,-0.3622318915853575
validation,1011,0.11525086934923001,232,2013,0.32593911917098445,0.16175518134715025,0.034974093264248704,0.5714054404145078,0.42859455958549225,-0.027715491507039114,-0.19386022936474415
validation,1012,0.1503831417624521,471,3132,0.5071243523316062,0.1635362694300518,0.034974093264248704,0.8196243523316062,0.18037564766839378,0.007416780906182974,0.051877804413301226
validation,1013,0.14577581446714521,528,3622,0.5864637305699482,0.07998704663212436,0.034974093264248704,0.9106217616580311,0.08937823834196891,0.0028094536108760892,0.01965115146003168
