feature,coefficient,odds_ratio
mes_contato_mar,1.2789453888085487,3.5928486684600744
indice_precos_consumidor,1.0214825612363136,2.77730924425296
euribor_3_meses,0.6547852257429143,1.9247290907206998
mes_contato_dez,0.3156914881476889,1.3712071567040656
mes_contato_ago,0.28379979014430123,1.3281669920100903
resultado_campanha_anterior_sucesso,0.17651453974980802,1.1930517733077821
canal_contato_celular,0.13431694528386007,1.1437552700418705
numero_empregados,0.11961897970757346,1.127067334231886
indice_confianca_consumidor,0.10318647152108115,1.1086981304283865
dia_semana_qua,0.052315552172655815,1.0537081899670373
dias_desde_ultimo_contato,-0.019558964523194652,0.9806310710403625
contatos_campanhas_anteriores,-0.02977940083734844,0.9706596366352205
mes_contato_set,-0.05010276041904315,0.9511316807886245
dia_semana_qui,-0.07537716363345484,0.9273936412029117
dia_semana_sex,-0.0822655463051621,0.9210273508104649
mes_contato_jul,-0.08273210419339896,0.9205977384619705
resultado_campanha_anterior_inexistente,-0.10414270201498063,0.90109669993109
dia_semana_ter,-0.10847668655141962,0.8971998113948205
tentativas_anteriores_campanha_atual,-0.11819460639436537,0.8885231235072321
mes_contato_abr,-0.14234102547977204,0.8673254259763983
mes_contato_out,-0.15754714968136133,0.8542365356784767
dia_semana_seg,-0.29454322067279115,0.7448717517876182
resultado_campanha_anterior_fracasso,-0.5807189027249602,0.5594959987529652
mes_contato_mai,-0.6056524356254864,0.5457182644286941
canal_contato_telefone,-0.6426640102739357,0.5258895810317856
mes_contato_nov,-0.6514152313985128,0.5213074837372431
mes_contato_jun,-0.6969930252931967,0.4980807705281855
nunca_contatado_anteriormente,-1.1619398664525844,0.31287864901282486
taxa_variacao_emprego,-2.1573852454754725,0.11562706249945999
